zip_code,city,state,population_2018,population_2023,population_growth,median_income_2018,median_income_2023,income_growth
95051,Santa Clara,CA,58123.0,61345.0,5.54,125520.0,185632.0,47.89
94086,Sunnyvale,CA,49630.0,48956.0,-1.36,129112.0,180217.0,39.58
95112,San Jose,CA,61060.0,56766.0,-7.03,63500.0,89649.0,41.18
94538,Fremont,CA,68111.0,67704.0,-0.6,106139.0,144451.0,36.1
94403,San Mateo,CA,44300.0,43459.0,-1.9,123968.0,179825.0,45.06
94608,Oakland,CA,30289.0,33998.0,12.25,82753.0,116306.0,40.55
94063,Redwood City,CA,34503.0,34695.0,0.56,71458.0,115528.0,61.67
94110,San Francisco,CA,74161.0,66687.0,-10.08,123576.0,152403.0,23.33
94536,Fremont,CA,73855.0,70707.0,-4.26,116609.0,156672.0,34.36
94704,Berkeley,CA,29190.0,24427.0,-16.32,31379.0,52105.0,66.05
